"","Day","Treatment1","Treatment2","Cell1","Cell2","Comparison_Group","Control_Shapiro_PValue","Treatment_Shapiro_PValue","Normality","Levene_PValue","Variance_equal"
"1","-2","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",NA,NA,"Indeterminate",NA,NA
"2","3","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.298275852154231,0.875134548739641,"Normal",0.959379071410495,TRUE
"3","4","CTRL","RA","S3D21","NA","S3D21 -- RA vs CTRL",0.85251499188367,0.201265271484814,"Normal",0.755770039640566,TRUE
"4","4","CTRL","RA","S3T21","NA","S3T21 -- RA vs CTRL",0.790227632682715,0.0768880477067223,"Normal",0.510059595241688,TRUE
"5","4","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.85251499188367,0.790227632682715,"Normal",0.912505992067547,TRUE
"6","4","RA","NA","S3D21","S3T21","RA -- S3T21 vs S3D21",0.201265271484814,0.0768880477067223,"Normal",0.482623463048329,TRUE
"7","5","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.899850280037221,0.124808428051448,"Normal",0.849086640103046,TRUE
"8","6","CTRL","RA","S3D21","NA","S3D21 -- RA vs CTRL",0.307439142984173,0.620429673398735,"Normal",0.84980617637551,TRUE
"9","6","CTRL","RA","S3T21","NA","S3T21 -- RA vs CTRL",0.242434808767238,0.195259498287988,"Normal",0.492269489654669,TRUE
"10","6","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.307439142984173,0.242434808767238,"Normal",0.578674715008368,TRUE
"11","6","RA","NA","S3D21","S3T21","RA -- S3T21 vs S3D21",0.620429673398735,0.195259498287988,"Normal",0.654936460008046,TRUE
"12","7","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.961982339837832,0.865751085559615,"Normal",0.659816304339487,TRUE
"13","8","CTRL","RA","S3D21","NA","S3D21 -- RA vs CTRL",0.26090239320863,0.699574718361749,"Normal",0.374626511924497,TRUE
"14","8","CTRL","RA","S3T21","NA","S3T21 -- RA vs CTRL",0.842833201535056,0.86047522438243,"Normal",0.718568264142923,TRUE
"15","8","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.26090239320863,0.842833201535056,"Normal",0.199605373779347,TRUE
"16","8","RA","NA","S3D21","S3T21","RA -- S3T21 vs S3D21",0.699574718361749,0.86047522438243,"Normal",0.595095694982004,TRUE
"17","9","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.50263793058859,0.66422360090724,"Normal",0.677031107354682,TRUE
"18","10","CTRL","RA","S3D21","NA","S3D21 -- RA vs CTRL",0.0281110579220213,0.649123323852451,"Not Normal",0.98500687030199,TRUE
"19","10","CTRL","RA","S3T21","NA","S3T21 -- RA vs CTRL",0.0806343321119975,0.121658562141731,"Normal",0.70354451373648,TRUE
"20","10","CTRL","NA","S3D21","S3T21","CTRL -- S3T21 vs S3D21",0.0281110579220213,0.0806343321119975,"Not Normal",0.732429971140759,TRUE
"21","10","RA","NA","S3D21","S3T21","RA -- S3T21 vs S3D21",0.649123323852451,0.121658562141731,"Normal",0.964819766183792,TRUE
