"","cell","day","treatment","mean","sd"
"1","S3D21","8","CTRL",831578.947368421,19323.747105985
"2","S3D21","4","RA",800701.754385965,80057.6892643151
"3","S3D21","6","RA",797894.736842105,46172.0256830765
"4","S3D21","7","CTRL",778245.614035088,30532.3647969223
"5","S3D21","10","CTRL",770877.192982456,107277.223050426
"6","S3T21","5","CTRL",758596.49122807,120893.869956947
"7","S3D21","5","CTRL",743157.894736842,86961.6402203068
"8","S3D21","8","RA",723859.649122807,48493.4622584301
"9","S3T21","8","RA",716842.105263158,74936.7230760324
"10","S3D21","4","CTRL",716491.228070176,51205.2340353319
"11","S3T21","4","CTRL",713333.333333333,47126.0857633234
"12","S3D21","10","RA",712982.456140351,93146.495486529
"13","S3D21","6","CTRL",709473.684210526,59106.9269110167
"14","S3D21","9","CTRL",709473.684210526,42485.1285697065
"15","S3T21","8","CTRL",701052.631578947,99811.4566059733
"16","S3T21","6","RA",694035.087719298,87668.0552080999
"17","S3T21","6","CTRL",678596.49122807,29101.6621610442
"18","S3T21","10","RA",671929.824561404,107483.598353659
"19","S3T21","4","RA",619649.122807018,26153.8879348551
"20","S3D21","3","CTRL",594035.087719298,57523.5308550458
"21","S3T21","7","CTRL",582456.140350877,21632.3686200679
"22","S3T21","10","CTRL",534035.087719298,62348.6162944451
"23","S3T21","3","CTRL",522807.01754386,51161.9376064778
"24","S3T21","9","CTRL",520701.754385965,27796.915537317
"25","S3D21","-2","CTRL",17000,0
"26","S3T21","-2","CTRL",17000,0
